brand,palette_id,version,code,hex,r,g,b,family,source,source_url,last_checked,confidence
MARD,mard221,mard221-public-page-draft-2026-05-17,A1,#FAF4C8,250,244,200,cream,reference-page,https://bitbead.pomodiary.com/zh/colors/mard,2026-05-17,medium
MARD,mard221,mard221-public-page-draft-2026-05-17,A2,#FFFFD5,255,255,213,cream,reference-page,https://bitbead.pomodiary.com/zh/colors/mard,2026-05-17,medium
MARD,mard221,mard221-public-page-draft-2026-05-17,A3,#FEFF8B,254,255,139,yellow,reference-page,https://bitbead.pomodiary.com/zh/colors/mard,2026-05-17,medium
MARD,mard221,mard221-public-page-draft-2026-05-17,A4,#FBED56,251,237,86,yellow,reference-page,https://bitbead.pomodiary.com/zh/colors/mard,2026-05-17,medium
MARD,mard221,mard221-public-page-draft-2026-05-17,A5,#F4D738,244,215,56,yellow,reference-page,https://bitbead.pomodiary.com/zh/colors/mard,2026-05-17,medium
MARD,mard221,mard221-public-page-draft-2026-05-17,A6,#FEAC4C,254,172,76,orange,reference-page,https://bitbead.pomodiary.com/zh/colors/mard,2026-05-17,medium
MARD,mard221,mard221-public-page-draft-2026-05-17,A7,#FE8B4C,254,139,76,orange,reference-page,https://bitbead.pomodiary.com/zh/colors/mard,2026-05-17,medium
MARD,mard221,mard221-public-page-draft-2026-05-17,A8,#FFDA45,255,218,69,yellow,reference-page,https://bitbead.pomodiary.com/zh/colors/mard,2026-05-17,medium
MARD,mard221,mard221-public-page-draft-2026-05-17,A9,#FF995B,255,153,91,orange,reference-page,https://bitbead.pomodiary.com/zh/colors/mard,2026-05-17,medium
MARD,mard221,mard221-public-page-draft-2026-05-17,A10,#F77C31,247,124,49,orange,reference-page,https://bitbead.pomodiary.com/zh/colors/mard,2026-05-17,medium
MARD,mard221,mard221-public-page-draft-2026-05-17,A11,#FFDD99,255,221,153,orange,reference-page,https://bitbead.pomodiary.com/zh/colors/mard,2026-05-17,medium
MARD,mard221,mard221-public-page-draft-2026-05-17,A12,#FE9F72,254,159,114,orange,reference-page,https://bitbead.pomodiary.com/zh/colors/mard,2026-05-17,medium
MARD,mard221,mard221-public-page-draft-2026-05-17,A13,#FFC365,255,195,101,orange,reference-page,https://bitbead.pomodiary.com/zh/colors/mard,2026-05-17,medium
